NetTime,NetDist
53.0574,83875.508
43.23148333,67986.334
40.08108333,65834.602
42.07971667,66809.773
39.89508333,66193.778
41.66353333,67847.518
37.20575,60257.911
33.83243333,58141.256
47.76093333,78267.987
47.74846667,71584.838
43.98988333,66228.466
42.8074,67862.529
39.79213333,64829.616
39.20151667,64734.665
43.70783333,70103.586
45.12276667,71835.714
41.92925,66612.759
48.80003333,62405.949
43.06648333,65534.491
43.60163333,68134.397
45.08751667,70201.734
45.47185,69783.977
38.58905,63478.379
50.39916667,59479.267
46.78911667,58757.211
41.69173333,66556.148
50.61061667,73229.098
49.85781667,72668.814
48.62173333,71101.033
40.48941667,65801.115
48.99588333,72100.623
48.2588,71807.36
41.9177,66653.263
43.36243333,67281.906
53.73331667,72910.654
84.95538333,95132.478
53.41835,68369.071
56.11163333,71842.403
37.70271667,51234.709
52.77068333,64265.571
52.94655,66619.532
77.4806,88582.93
52.39528333,66317.738
47.2438,60356.442
44.16483333,50292.311
44.76285,55634.143
48.42695,60142.008
72.94996667,82374.112
72.34138333,79734.698
51.49428333,62814.482
51.19786667,63458.518
54.38505,64770.81
54.92408333,64674.87
78.67155,86557.633
83.61795,91696.129
95.24761667,105435.133
104.6438,123657.489
91.64511667,103306.039
92.18743333,101250.437
79.16998333,89811.954
100.3157333,111649.506
82.4213,94493.763
99.25768333,115724.071
94.38938333,101575.731
63.0362,66542.355
54.4885,63299.086
14.56638333,20031.195
15.22763333,24229.867
53.44378333,57674.959
29.7025,41509.135
18.27633333,24725.31
14.2405,18738.802
23.34151667,31539.041
24.25848333,32796.132
7.461916667,9441.161
4.4593,5387.936
11.67886667,18652.965
13.60051667,19438.315
16.13055,21130.7
16.76185,20958.503
12.05495,19536.04
14.87176667,23082.196
19.80095,30352.801
16.27066667,26587.119
10.94395,16339.622
11.69288333,16862.199
14.69186667,21415.058
12.92855,20351.012
9.359816667,13047.278
9.751566667,11367.277
6.601216667,7225.584
49.18675,53941.957
44.82618333,52875.118
44.56155,52714.283
45.64295,53610.001
42.83735,51033.093
23.71113333,35080.312
22.41488333,28580.837
19.53921667,19301.799
70.17068333,44931.19
27.06305,34948.957
26.14505,32789.123
9.305016667,11442.944
13.15295,17267.093
32.85343333,40261.089
14.35293333,18763.937
15.29585,19139.4
14.47173333,18704.947
17.02676667,26432.009
15.37683333,19515.486
15.19121667,22073.415
64.95315,103765.494
65.83166667,104529.576
75.00138333,108409.921
75.4538,109227.873
73.2997,108163.642
75.26806667,109173.347
73.39496667,108094.991
72.29048333,109415.144
68.33316667,107353.909
68.3498,107735.726
74.43851667,116743.86
76.7619,110766.785
69.09496667,103795.29
74.23061667,114876
70.10631667,102824.274
70.24445,108499.053
69.47928333,108318.192
72.10343333,103589.22
69.72166667,106014.487
67.8296,105409.26
64.24493333,99124.632
64.70656667,104485.774
67.60348333,105063.945
71.89046667,106388.531
76.24621667,110318.969
69.06891667,105805.13
71.24238333,105311.34
69.71575,102728.65
68.8895,102477.572
69.1991,102485.991
72.36788333,107830.82
67.88241667,101651.028
70.99308333,107230.84
75.54835,114374.324
69.96723333,107038.331
64.54078333,98499.376
66.26525,100603.78
68.71275,107485.319
70.00508333,106564.991
67.82541667,105593.953
72.5855,109539.925
70.536,109437.053
67.13225,105207.537
68.87298333,106361.428
66.38211667,103273.706
68.12541667,103755.15
65.78881667,104130.631
74.53095,108055.999
76.97346667,109070.969
76.29486667,108359.983
78.25998333,106069.491
76.55911667,110472.385
75.93601667,109807.721
77.34433333,109457.174
78.2082,109802.726
75.97855,108372.418
76.01953333,108200.784
75.71461667,107648.129
77.79805,109512.773
78.76113333,106138.958
70.76425,100084.882
68.77216667,98880.644
77.88651667,111232.745
79.9113,112105.54
70.28663333,98381.015
73.5318,106787.65
69.0169,99344.816
72.0642,104540.748
75.50575,107540.659
75.47855,107492.367
65.76181667,95899.588
64.5242,95597.061
62.12025,90999.143
66.04848333,97685.748
77.55118333,111512.522
76.33298333,104123.993
77.0837,105557.222
57.2282,87633.446
60.3282,90360.727
56.86983333,86801.879
56.98166667,87308.904
71.2579,99226.831
74.14586667,107248.97
69.15668333,99031.328
69.08518333,97712.905
69.50845,98023.485
74.27493333,107293.268
26.60761667,38750.132
25.40385,33905.397
26.44948333,39906.107
27.52718333,33989.854
25.41686667,33103.373
28.1578,40365.744
27.4018,40235.891
25.53625,36287.35
28.02316667,35655.789
19.48465,28762.095
26.1447,36392.594
19.24348333,26839.4
25.34241667,33343.885
22.48031667,30679.819
24.36148333,32814.016
24.23815,34800.1
24.09,32787.868
23.44233333,32310.751
21.55996667,31810.624
36.2783,37347.033
20.52633333,30086.628
22.84863333,30523.434
27.66875,38429.864
30.00923333,42893.416
9.065733333,9445.099
4.692683333,3086.893
9.186916667,11160.88
14.01265,20264.498
15.64626667,20427.51
4.1598,2966.176
5.352566667,7238.775
17.0367,20440.148
16.92853333,21635.886
2.785416667,2712.377
28.19133333,26020.769
7.8629,7209.201
10.25151667,13465.932
5.05375,4426.746
6.221916667,3730.096
7.69935,9256.239
4.186133333,3022.969
2.611866667,2124.914
