Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
North West,Cheshire East UA,Cheshire East UA,112,1116,5942,9578,156,7.6,130583,73917,205969,1774,1419,0.11,35.88743937,4.650214353
North West,Cheshire West and Chester UA,Cheshire West and Chester UA,82,813,4976,9749,153,7.6,111965,63942,177015,1712,1399,0.1,36.12236251,5.507442872
North West,Cumbria,Allerdale,21,161,1770,2802,149,7.6,27900,21203,49332,1695,1401,0.12,42.98021568,5.67988324
North West,Cumbria,Barrow-in-Furness,7,50,703,1788,154,8,19012,9729,28831,1681,1383,0.11,33.74492734,6.201657938
North West,Cumbria,Carlisle,23,204,1876,3785,148,7.4,28773,21391,50418,1679,1407,0.11,42.42730771,7.507239478
North West,Cumbria,Copeland,22,107,1293,1387,149,7.1,20069,13749,33968,1679,1382,0.11,40.47633066,4.083254828
North West,Cumbria,Eden,9,123,920,1678,153,8.2,14555,14636,29357,1759,1461,0.14,49.85523044,5.715842899
North West,Cumbria,South Lakeland,24,244,1862,2600,153,8,31707,23997,56028,1729,1436,0.12,42.83037053,4.640536874
North West,Halton UA,Halton UA,41,188,1971,5610,148,7.1,37269,20686,58248,1637,1383,0.1,35.51366571,9.631231974
North West,Knowsley,Knowsley,15,144,1540,5295,148,7,34957,18230,53405,1615,1373,0.1,34.13538058,9.914801985
North West,Lancashire,Burnley,14,93,1189,2214,148,7.6,21976,12424,34547,1615,1361,0.11,35.96260167,6.408660665
North West,Lancashire,Chorley,40,240,1678,2548,152,7.7,34922,21362,56639,1700,1398,0.11,37.71606137,4.498666996
North West,Lancashire,Fylde,13,284,1165,1977,155,8,27318,13935,41610,1743,1396,0.1,33.48954578,4.751261716
North West,Lancashire,Hyndburn,9,118,1113,2824,149,7.7,21150,12630,33963,1641,1369,0.11,37.1875276,8.314930954
North West,Lancashire,Lancaster,28,248,1693,2754,152,8.3,36706,23066,60118,1683,1391,0.11,38.36787651,4.580990718
North West,Lancashire,Pendle,15,123,1316,2225,150,7.8,21802,15453,37444,1672,1399,0.12,41.26962931,5.942207029
North West,Lancashire,Preston,22,283,1500,4403,152,8.1,34192,20401,54967,1681,1397,0.11,37.11499627,8.010260702
North West,Lancashire,Ribble Valley,13,142,1046,1233,154,7.4,18713,13332,32245,1769,1432,0.11,41.34594511,3.823848659
